ID,Gender,Age,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,D10,D11,D12,D13,D14,D15,D16,D17,D18,DQSCORE,Y_DOUBT
1,2,83,3,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,25,1
2,2,75,5,3,1,2,5,5,5,5,5,5,5,5,3,2,1,3,3,3,66,4
3,1,72,2,3,3,3,5,3,4,4,3,2,4,4,4,1,1,3,4,2,55,2
4,2,71,2,3,1,2,4,4,5,4,4,4,3,4,2,2,2,2,2,2,52,2
5,1,69,1,2,1,2,2,2,2,2,3,2,1,4,2,1,1,2,1,2,33,1
6,2,69,1,1,1,1,1,1,1,3,1,1,1,4,1,3,1,1,1,1,25,1
7,1,68,3,2,1,2,2,1,2,1,1,2,1,4,1,2,3,2,2,1,33,1
8,1,67,1,3,2,2,2,3,1,2,2,2,2,1,2,4,4,3,2,1,39,1
9,2,67,4,1,2,1,2,5,2,1,4,1,1,4,2,3,1,1,1,1,37,1
10,1,66,2,2,2,2,4,5,4,4,4,3,3,4,3,3,2,4,4,2,57,2
11,2,66,3,3,2,1,3,2,5,5,1,2,2,4,3,4,4,3,3,1,51,1
12,1,65,2,2,1,1,2,3,2,2,1,1,1,5,4,2,2,3,3,2,39,3
13,2,65,1,2,1,2,2,2,2,2,1,1,1,4,1,1,1,1,1,1,27,1
14,2,64,2,1,1,1,2,2,4,1,1,1,2,4,3,2,1,3,2,1,34,1
15,2,64,4,3,1,3,2,2,2,3,3,2,2,2,2,1,1,2,1,2,38,2
16,2,63,3,2,1,2,2,2,1,2,2,1,2,2,2,2,4,2,2,1,35,1
17,2,63,1,1,2,1,1,3,3,2,1,2,2,3,3,3,3,1,1,1,34,1
18,1,62,4,4,4,2,3,4,4,4,2,2,2,4,4,4,2,4,4,2,59,3
19,1,62,1,1,2,1,1,1,1,3,2,2,2,4,2,2,5,2,2,1,35,1
20,2,62,1,4,1,3,1,2,1,2,3,1,1,3,2,3,2,3,2,2,37,2
21,2,61,4,4,1,4,4,4,5,4,4,4,4,4,4,4,3,4,2,2,65,3
22,2,60,2,1,2,2,1,3,2,2,1,1,1,4,2,2,2,2,2,1,33,1
23,1,60,1,1,1,3,2,2,3,2,1,1,1,1,2,4,4,1,1,1,32,1
24,1,59,3,2,2,2,1,3,2,2,2,2,1,2,1,2,2,3,2,1,35,2
25,2,59,4,5,3,2,3,4,4,3,3,4,2,4,4,2,2,2,2,3,56,2
26,2,59,1,2,2,1,2,2,2,2,1,1,1,2,1,3,4,1,1,1,30,1
27,2,58,1,1,3,3,2,1,3,1,1,1,1,1,2,3,1,3,1,1,30,1
28,2,58,4,1,2,1,2,5,1,3,1,1,1,4,2,4,4,3,1,1,41,1
29,1,57,1,2,2,2,2,2,2,2,2,1,2,4,4,4,4,2,1,1,40,1
30,2,57,2,1,1,1,2,3,2,1,1,1,2,2,2,1,1,2,1,1,27,1
31,2,57,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,23,1
32,2,57,1,3,1,1,2,4,1,1,1,1,2,4,2,2,1,2,2,1,32,1
33,2,56,3,1,1,2,4,2,4,4,1,1,1,1,3,2,2,4,2,1,39,2
34,1,56,4,4,3,3,4,3,2,2,4,2,4,4,4,4,3,4,4,2,60,2
35,2,56,2,3,1,3,3,4,3,2,3,2,2,4,2,4,3,2,2,1,46,2
36,2,54,2,1,1,1,2,3,3,3,1,2,1,3,2,1,2,3,1,1,33,1
37,1,54,2,2,2,1,2,2,2,2,2,2,1,3,2,3,2,2,2,1,35,1
38,2,54,1,2,2,1,2,2,3,3,3,3,3,2,2,4,3,2,1,1,40,1
39,2,54,3,4,1,4,2,4,2,1,1,2,2,4,1,2,2,2,1,1,39,1
40,1,54,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,24,2
41,2,53,5,1,1,1,1,4,1,1,1,1,1,5,2,1,1,1,1,1,30,1
42,2,53,2,4,3,3,2,2,1,1,3,3,3,2,2,4,4,4,2,1,46,1
43,2,52,1,1,2,2,2,2,3,2,1,1,1,3,2,2,1,3,2,1,32,1
44,2,52,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,24,1
45,2,52,2,1,2,2,1,3,2,1,1,1,1,2,1,2,1,1,1,1,26,1
46,2,51,1,2,2,2,3,4,4,3,1,1,2,4,3,3,5,2,3,1,46,1
47,2,50,2,2,3,3,3,3,2,4,3,1,2,3,4,3,1,3,2,2,46,1
48,2,50,2,3,3,5,3,5,5,4,2,4,3,5,3,2,4,5,3,2,63,1
49,2,50,4,1,4,1,4,4,2,2,2,1,2,3,2,1,1,1,2,1,38,1
50,2,50,3,2,2,3,4,4,4,4,2,2,3,2,5,4,3,3,3,2,55,2
51,2,49,3,2,1,1,3,2,2,2,2,2,2,3,2,1,1,4,2,2,37,1
52,2,49,5,3,2,3,4,3,4,4,2,4,3,4,4,5,5,4,4,2,65,2
53,2,49,4,2,3,2,2,3,2,3,2,2,2,4,3,1,1,4,4,3,47,2
54,1,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1
55,2,47,1,1,2,3,2,4,2,3,1,1,1,3,2,1,1,2,2,1,33,1
56,2,47,5,5,2,4,5,4,5,5,5,2,4,4,5,2,3,4,3,4,71,4
57,1,46,1,1,5,1,1,3,3,2,1,1,1,3,5,3,3,2,2,1,39,1
58,2,44,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,34,1
59,2,43,2,2,1,1,2,3,2,4,1,1,1,2,1,2,1,2,2,1,31,2
60,2,43,3,2,1,3,2,1,5,5,5,4,4,4,3,3,4,3,1,4,57,3
61,2,43,4,1,3,4,4,4,2,2,2,2,2,4,4,2,2,4,4,2,52,3
62,2,43,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,20,1
63,1,43,2,2,2,2,1,4,1,2,2,1,1,3,4,5,5,2,2,1,42,3
64,2,43,4,4,5,5,4,5,5,4,4,4,4,5,5,5,5,5,5,5,83,5
65,2,43,1,2,2,2,2,4,3,3,3,1,1,4,3,1,1,2,1,1,37,1
66,2,43,2,1,2,3,1,2,2,2,1,1,1,4,2,1,1,3,1,1,31,1
67,1,43,2,2,1,2,3,2,2,1,1,1,1,3,3,2,2,2,2,2,34,1
68,2,42,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,26,1
69,2,42,4,3,2,2,3,5,4,4,3,3,3,5,3,1,1,2,3,2,53,2
70,2,42,2,2,2,2,4,2,5,2,4,2,2,2,4,4,4,2,4,1,50,1
71,2,42,2,2,5,1,2,1,3,1,1,1,1,4,3,2,1,3,3,1,37,2
72,2,42,4,1,2,2,2,4,5,4,1,1,1,4,2,1,1,3,2,2,42,1
73,2,41,3,1,3,1,3,3,2,1,3,3,3,3,3,3,1,3,3,1,43,1
74,1,41,1,1,2,1,1,1,2,2,1,1,1,3,2,3,2,1,1,1,27,1
75,2,41,5,4,2,1,3,4,4,5,3,2,2,4,5,3,2,3,2,3,57,3
76,2,40,4,3,2,3,3,4,2,3,4,2,3,4,4,3,5,3,2,2,56,2
77,2,40,4,1,2,3,4,4,4,2,3,1,1,4,2,3,3,3,1,3,48,2
78,2,39,4,4,3,4,4,5,5,4,3,2,2,4,4,2,2,4,4,2,62,3
79,2,39,3,5,2,2,4,4,5,3,2,3,3,3,3,2,2,4,3,1,54,2
80,2,39,4,3,4,2,2,4,4,4,4,3,3,5,4,2,2,5,5,4,64,4
81,2,39,4,2,3,3,2,4,2,3,1,1,1,4,4,1,1,2,3,2,43,1
82,2,39,4,4,1,1,3,4,5,1,1,2,2,2,2,1,1,2,1,1,38,1
83,2,39,5,2,3,1,3,5,5,5,5,3,5,5,5,3,1,3,4,4,67,5
84,1,38,1,3,2,2,2,2,1,1,3,2,2,4,1,2,3,1,2,1,35,2
85,2,38,5,3,3,5,5,5,3,1,1,1,3,1,1,4,1,3,2,1,48,1
86,1,38,2,3,1,4,4,4,5,5,3,2,5,5,3,3,2,5,5,4,65,3
87,1,38,5,3,3,4,4,5,2,2,4,4,3,4,4,5,5,4,4,4,69,2
88,1,38,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,3,49,2
89,1,37,5,2,3,3,2,4,2,2,1,1,1,4,4,3,3,5,4,4,53,1
90,1,37,1,1,2,1,5,4,1,1,1,1,4,1,2,1,1,4,1,1,33,1
91,1,37,2,2,2,4,2,2,1,2,2,2,2,4,2,2,2,3,2,1,39,1
92,2,37,2,2,3,5,4,3,4,3,3,1,2,2,4,5,2,4,1,2,52,2
93,1,37,3,2,2,1,1,2,2,2,3,3,2,4,3,3,5,2,2,1,43,2
94,1,36,3,4,1,5,4,3,4,2,5,1,4,2,2,2,2,2,2,2,50,1
95,1,36,2,1,1,3,3,4,1,1,1,1,1,1,2,1,1,1,1,1,27,1
96,1,36,3,3,3,2,3,2,2,2,4,3,2,4,3,4,2,3,3,3,51,3
97,2,36,3,3,2,4,4,4,4,3,4,2,3,3,3,2,1,3,1,1,50,2
98,2,36,3,2,2,1,2,3,5,4,2,2,2,3,3,2,2,2,2,2,44,2
99,2,36,2,2,2,3,3,4,5,4,1,2,2,3,1,1,1,2,2,1,41,1
100,1,35,5,4,3,5,5,5,5,4,5,3,4,5,5,4,4,5,5,5,81,4
101,2,35,1,1,1,1,1,2,2,2,1,1,1,5,1,1,1,1,1,1,25,1
102,2,35,5,4,2,3,4,4,1,3,4,3,4,5,3,3,4,3,3,2,60,4
103,1,34,2,5,2,3,4,4,4,4,5,4,4,3,4,2,4,5,2,1,62,2
104,2,34,4,3,4,5,4,3,4,1,2,4,2,4,5,4,1,5,3,3,61,2
105,1,34,3,2,1,1,3,4,1,1,1,1,3,4,1,2,4,2,2,1,37,1
106,2,34,1,2,4,2,4,5,3,4,2,2,2,4,5,5,3,5,5,3,61,2
107,2,34,4,4,4,3,4,2,3,2,3,2,2,3,5,4,3,4,4,3,59,2
108,1,34,3,2,2,1,3,4,1,4,2,1,2,4,2,4,3,2,3,1,44,2
109,2,34,2,2,2,2,2,3,3,2,2,2,2,2,2,4,3,2,2,2,41,1
110,2,34,4,5,3,3,5,5,4,5,5,4,5,5,5,4,3,5,5,5,80,5
111,#NULL!,34,4,3,2,2,3,5,3,3,2,2,3,5,3,5,4,3,4,1,57,2
112,2,33,4,2,2,2,1,4,4,2,2,1,2,4,4,1,1,2,2,2,42,1
113,2,33,4,3,4,2,2,4,2,3,2,2,2,4,4,3,2,3,4,4,54,2
114,2,33,4,4,2,3,4,5,2,2,2,3,3,4,4,2,3,2,4,2,55,3
115,2,33,2,1,1,1,2,3,4,4,2,2,2,4,1,1,1,2,1,1,35,1
116,1,33,1,2,2,2,1,3,2,1,1,1,1,2,2,3,2,3,1,1,31,1
117,2,33,2,1,2,2,3,2,3,2,2,1,1,3,3,3,3,3,2,1,39,3
118,1,32,2,2,2,2,3,4,5,3,1,1,2,5,4,5,5,5,4,3,58,2
119,1,32,5,2,3,3,2,3,1,3,2,1,1,2,4,1,1,5,2,1,42,1
120,2,31,4,2,1,2,1,2,2,2,2,2,2,4,2,2,1,2,2,2,37,1
121,2,30,2,2,3,2,2,3,2,3,2,2,2,3,2,4,2,2,1,1,40,2
122,2,30,3,3,1,2,2,3,2,2,2,1,1,4,3,2,1,3,3,3,41,2
123,2,30,3,3,2,3,2,5,4,3,2,3,3,5,5,4,4,3,4,3,61,3
124,1,29,5,5,1,3,5,5,5,5,5,5,5,4,3,4,5,5,5,4,79,3
125,2,28,5,2,2,4,4,5,4,4,4,2,2,4,4,3,4,3,2,1,59,1
126,2,28,3,1,2,2,3,2,2,2,1,1,1,3,2,1,2,3,3,2,36,2
127,2,28,4,4,2,2,3,4,2,2,2,1,2,2,2,3,2,3,2,1,43,1
128,2,28,4,1,1,2,3,3,4,5,2,1,2,4,4,4,1,4,2,2,49,2
129,1,27,4,2,2,1,3,2,3,2,2,2,2,4,1,1,4,2,4,2,43,1
130,2,26,3,1,1,2,1,5,2,4,1,1,1,3,3,4,2,2,3,1,40,2
131,2,26,5,2,2,3,5,5,2,4,1,1,2,5,5,2,5,5,5,1,60,3
132,1,26,4,1,2,2,3,4,2,2,2,2,2,5,4,4,5,4,2,1,51,4
133,1,26,4,1,2,3,4,4,2,4,2,2,1,5,4,4,1,3,2,2,50,1
134,2,26,2,2,1,2,1,2,5,3,1,1,1,3,2,3,3,1,2,2,37,1
135,2,24,2,2,2,2,3,2,5,3,1,1,1,3,3,1,2,3,3,1,40,1
136,1,23,4,4,3,4,2,4,4,3,2,2,1,4,4,1,1,3,4,4,54,3
137,1,23,4,3,2,4,2,4,4,4,4,4,1,4,5,1,1,1,4,4,56,2
138,1,22,4,3,1,2,4,5,1,2,2,2,3,4,2,5,3,2,2,4,51,2
139,1,21,3,3,2,5,2,2,4,5,5,4,4,3,3,2,2,3,4,5,61,3
140,1,20,2,2,4,3,3,3,4,4,2,4,3,4,4,3,2,5,4,3,59,1
141,#NULL!,20,1,1,4,2,2,2,5,4,2,1,1,3,2,4,4,1,1,1,41,1
142,#NULL!,20,1,1,1,1,1,1,3,3,1,1,1,3,2,1,1,2,2,1,27,1
143,#NULL!,20,2,4,4,2,2,5,5,4,4,2,3,4,5,2,2,4,4,3,61,1
144,#NULL!,20,4,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,42,2
145,#NULL!,20,1,1,1,2,1,4,1,1,1,1,1,2,3,1,1,3,1,1,27,1
146,#NULL!,20,3,3,2,3,2,2,2,2,1,2,3,4,3,2,2,3,2,2,43,1
147,#NULL!,20,1,2,1,1,2,3,3,2,2,1,1,5,1,4,2,1,1,1,34,2
148,2,20,3,5,4,1,5,5,5,2,5,5,5,5,5,5,1,4,5,4,74,4
149,#NULL!,20,1,3,1,3,3,4,3,3,2,1,2,4,1,1,1,2,2,1,38,1
150,#NULL!,20,5,4,1,1,3,2,1,1,1,1,1,5,4,2,3,2,1,1,39,1
151,#NULL!,20,3,1,4,1,1,2,2,1,2,1,1,5,1,1,1,2,1,1,31,1
152,2,17,3,3,2,3,3,3,4,4,3,3,2,5,4,3,3,4,4,3,59,5
